제작자,차명,생산기간(from),생산기간(to),리콜개시일,리콜사유
비엠더블유코리아(주),BMW X5 xDrive30d,2016-08-10,2015-03-31,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X5 xDrive40d,2017-06-27,2014-01-11,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X5 M50d,2017-06-26,2014-02-17,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X6 xDrive35i,2015-06-19,2015-06-19,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X6 xDrive30d,2016-05-11,2016-07-21,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X6 M,2014-11-07,2017-06-26,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW M6 Coupe,2015-01-28,2015-01-27,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive20d,2006-02-17,2006-07-07,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 123d,2007-12-03,2007-12-03,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive2.5i,2007-01-16,2008-03-12,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive3.0i,2010-02-10,2010-02-10,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive20d,2006-11-18,2007-06-29,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive30d,2007-09-14,2007-09-14,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive20d,2008-02-29,2009-09-11,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 335i,2008-11-13,2008-11-13,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2010-05-12,2010-05-12,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2008-09-11,2009-06-17,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2009-09-10,2009-09-10,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 116d,2010-01-28,2010-01-28,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 118d,2007-07-12,2009-04-17,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120i,2009-07-08,2009-07-08,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120i,2007-06-01,2007-06-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 118d,2007-04-26,2009-12-14,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120d,2007-09-29,2007-09-29,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 116i,2007-03-01,2007-03-28,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 118i,2009-08-29,2009-08-29,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 118i,2006-07-21,2006-07-21,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120i,2005-06-08,2006-03-22,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120i,2005-10-28,2005-10-28,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 118d,2004-07-16,2007-02-16,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120d,2004-10-19,2005-09-13,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 116d,2010-03-17,2009-06-12,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120i,2012-09-14,2012-09-14,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 128i,2008-05-07,2008-09-25,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 125i,2008-07-11,2008-07-11,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 118d,2008-09-01,2010-07-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 135i,2011-12-15,2011-12-15,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 135i,2008-04-28,2008-04-28,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 120d,2009-05-26,2009-05-26,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2010-04-23,2010-04-23,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2008-11-13,2009-11-12,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2008-10-27,2008-10-27,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318i,2006-09-20,2006-09-20,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320i,2006-05-26,2006-11-20,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW M3,2008-06-11,2008-06-11,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 325i,2005-10-22,2005-10-22,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 330i,2005-03-23,2006-11-03,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 330i,2006-02-01,2006-02-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2006-01-24,2007-07-26,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2005-12-21,2005-12-21,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2005-03-18,2007-07-03,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2008-03-17,2008-03-17,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2007-11-08,2008-03-12,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 xDrive28i,2013-07-01,2013-07-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 sDrive28i,2015-02-16,2015-02-16,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 xDrive25d,2014-02-17,2014-02-17,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 sDrive20d,2015-05-22,2015-05-22,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 xDrive20d,2010-01-06,2010-01-06,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 xDrive18d,2014-07-02,2015-04-23,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X1 xDrive20d,2014-07-26,2015-06-08,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 325i,2007-08-01,2007-08-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 325xi,2005-07-14,2005-07-14,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 330d xDrive,2007-02-01,2007-02-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2006-04-19,2006-04-19,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2006-10-18,2007-07-10,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2008-03-04,2008-03-04,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 330d,2007-04-11,2007-04-11,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 318d,2007-11-19,2008-02-04,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2007-03-02,2009-02-07,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320i,2007-05-24,2007-05-24,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320i,2008-11-11,2008-11-11,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 320d,2008-04-01,2008-04-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW 330d,2007-06-20,2007-06-20,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X5 xDrive35i,2010-11-06,2010-11-06,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X5 xDrive35i,2011-08-19,2011-08-19,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X5 xDrive30d,2010-05-01,2010-05-01,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X5 M,2014-11-05,2017-06-27,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X6 xDrive40d,2017-04-03,2017-06-27,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X6 M50d,2014-01-08,2017-06-27,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
비엠더블유코리아(주),BMW X3 xDrive20i,2008-02-22,2008-02-22,2019-02-13,운전석 및 조수석 에어백 인플레이터의 제작결함
아우디폭스바겐코리아(주),A3 40 TFSI,2018-06-08,2018-07-11,2019-01-31,"특정 기간 내에 제조된 후방 시트 프레임 가운데, 제조사의 용접 공정 불량으로 인해, 헤드 레스트 가이드 슬리브와 후방 시트 프레임 사이 간격이 발생하여, 헤드 레스트 고정이 불완전 할 수 있습니다."
현대자동차(주),그랜저(HG/IG),2013-09-02,2018-04-26,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 엔진 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
현대자동차(주),쏘나타(YF/LF),2013-09-03,2017-09-18,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 엔진 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
현대자동차(주),싼타페(DM),2017-05-31,2017-06-08,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 엔진 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
기아자동차(주),K5(TF/JF),2013-09-03,2017-10-19,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
기아자동차(주),K7(VG/YG),2013-09-02,2018-10-15,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
기아자동차(주),스포티지(SL),2013-09-16,2015-08-24,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
기아자동차(주),쏘렌토(UM),2016-05-04,2018-03-16,2019-02-15,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 점검 후 엔진 교환 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
(유)기흥모터스,XG750,2015-08-14,2018-01-08,2019-06-01,"앞뒤 브레이크 캘리퍼의 보어가 공정상 마감처리가 되질 않아 염분 등의 외부적인 오염물질로 인해 부식되어, 캘리퍼 피스톤이 원위치로 돌아오질 않아 브레이크가 살짝 잡힌 상태로 유지됨. ※ 캘리퍼 보어: 브레이크 패드를 밀어주는 피스톤을 감싸고 있는 부위."
(유)기흥모터스,XG750A,2017-03-16,2018-08-02,2019-06-01,"앞뒤 브레이크 캘리퍼의 보어가 공정상 마감처리가 되질 않아 염분 등의 외부적인 오염물질로 인해 부식되어, 캘리퍼 피스톤이 원위치로 돌아오질 않아 브레이크가 살짝 잡힌 상태로 유지됨. ※ 캘리퍼 보어: 브레이크 패드를 밀어주는 피스톤을 감싸고 있는 부위."
포드세일즈서비스코리아(유),2018년식 Mondeo,2017-08-22,2017-12-14,2019-02-15,제작상 접착제가 올바르게 결합되지 않은 틸트/슬라이드 선루프 패널 유리
포드세일즈서비스코리아(유),2011-2017년식 Explorer,2010-05-26,2017-01-24,2019-02-15,토우 링크의 내구성 문제로 험한 도로에서 잦은 극심한 진동 (Full jounce) 및 튀어오르는 증상(Full rebound)으로 리어 서스펜션 토우 링크에 가해지는 힘(굽힘 응력)이 증가하면 파손될 수 있음
아우디폭스바겐코리아(주),뮬산(Mulsanne),2012-11-05,2018-07-28,2019-02-18,특정 기간 내에 제조된 차량에 부적절한 등급의 소재가 사용되어 뒷좌석 중앙시트 안전벨트 버클의 지지부가 차체 구조에서 분리될 위험이 있습니다
비엠더블유코리아(주),BMW X1 xDrive25i,2018-10-19,2018-12-14,2019-02-22,고정 너트 제작 과정에서 세척되지 않은 절삭유가 미등 사이드 패널의 플라스틱 홀더를 부식시킵니다.
비엠더블유코리아(주),BMW X1 xDrive20d,2018-10-18,2018-10-29,2019-02-22,고정 너트 제작 과정에서 세척되지 않은 절삭유가 미등 사이드 패널의 플라스틱 홀더를 부식시킵니다.
비엠더블유코리아(주),BMW X1 xDrive18d,2018-10-17,2018-10-17,2019-02-22,고정 너트 제작 과정에서 세척되지 않은 절삭유가 미등 사이드 패널의 플라스틱 홀더를 부식시킵니다.
에프씨에이코리아(주),짚랭글러,2013-07-30,2016-09-13,2019-03-04,"조수석 에어백 모듈이 에어백 전개시 과도한 내부 압력 때문에 파손될 수 있으며, 특히 차량이 고온다습한 환경에서 장시간 노출될 경우, 에어백 전개시 금속 파편이 튀어나와 차량 탑승자들에게 심각한 부상을 입힐 가능성이 있음"
에프씨에이코리아(주),300C,2013-08-09,2015-09-17,2019-03-04,"조수석 에어백 모듈이 에어백 전개시 과도한 내부 압력 때문에 파손될 수 있으며, 특히 차량이 고온다습한 환경에서 장시간 노출될 경우, 에어백 전개시 금속 파편이 튀어나와 차량 탑승자들에게 심각한 부상을 입힐 가능성이 있음"
한국지엠주식회사,라세티 프리미어,2008-10-23,2011-02-08,2019-03-04,에어백 인플레이터 추진체가 시간이 지남에 따라 변화 될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스가 설계 기준보다 더 빨리 발생 되어 과다폭발로 인해서 파열이 발생할 가능성이 있음.
한국지엠주식회사,크루즈,2011-02-09,2013-04-08,2019-03-04,에어백 인플레이터 추진체가 시간이 지남에 따라 변화 될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스가 설계 기준보다 더 빨리 발생 되어 과다폭발로 인해서 파열이 발생할 가능성이 있음.
한국지엠주식회사,아베오,2010-12-20,2013-05-08,2019-03-04,에어백 인플레이터 추진체가 시간이 지남에 따라 변화 될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스가 설계 기준보다 더 빨리 발생 되어 과다폭발로 인해서 파열이 발생할 가능성이 있음.
한국지엠주식회사,올란도,2010-10-16,2013-12-16,2019-03-04,에어백 인플레이터 추진체가 시간이 지남에 따라 변화 될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스가 설계 기준보다 더 빨리 발생 되어 과다폭발로 인해서 파열이 발생할 가능성이 있음.
한국지엠주식회사,트랙스,2012-12-27,2013-08-04,2019-03-04,에어백 인플레이터 추진체가 시간이 지남에 따라 변화 될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스가 설계 기준보다 더 빨리 발생 되어 과다폭발로 인해서 파열이 발생할 가능성이 있음.
(주)볼보자동차코리아,XC60,2017-01-12,2018-10-26,2019-02-28,영하의 날씨에서 전동식 차량 뒷문 지지대(테일게이트 리프팅 암)의 플라스틱 커버 내외측 사이에 반복적인 착빙 현상이 일어나면 바깥쪽 튜브의 고정장치가 파손될 수 있습니다. 이 고정장치가 파손되면 플라스틱 튜브의 바깥쪽 튜브가 분리될 수 있으며 이로 인해 전동식 차량 뒷문(테일게이트) 장치의 전체적인 내구성이 저하될 수 있습니다.
다임러트럭코리아(주),악트로스,2016-11-10,2017-05-19,2019-02-22,"차량변속기 구성품중 변속단수를 조정하는 피스톤 로드를 고정하고 있는 위치 고정핀의 스프링고정 나사가 설계결함으로 인해 차량의 진동 등으로 풀어져, 피스톤 로드의 움직임을 방해하거나 완전히 고착되어 변속불량이 발생할 수 있는 결함"
다임러트럭코리아(주),아록스,2016-11-29,2017-05-18,2019-02-22,"차량변속기 구성품중 변속단수를 조정하는 피스톤 로드를 고정하고 있는 위치 고정핀의 스프링고정 나사가 설계결함으로 인해 차량의 진동 등으로 풀어져, 피스톤 로드의 움직임을 방해하거나 완전히 고착되어 변속불량이 발생할 수 있는 결함"
다임러트럭코리아(주),악트로스,2017-08-03,2017-09-25,2019-03-04,차량 앞부분 코너에 장착된 에어스포일러를 고정하는 고정핀 불량으로 운행시 코너부 에어스포일러가 떨어질 수 있습니다.
다임러트럭코리아(주),아록스,2017-08-02,2018-08-07,2019-03-04,차량 앞부분 코너에 장착된 에어스포일러를 고정하는 고정핀 불량으로 운행시 코너부 에어스포일러가 떨어질 수 있습니다.
다임러트럭코리아(주),스프린터,2014-09-26,2017-02-19,2019-02-22,"에어백 제조사인 다카타의 조사에 의하면 차량 운전석 및 조수석 전면에 장착된 에어백 모듈의 내부 인플레이터 추진제가 높은 절대 습도, 고온 사이클링의 지속적인 조건에 수년간 노출된 경우, 에어백이 작동될 때 과도한 폭발로 인해 비정상적인 내부압력으로 인해 인플레이터 몸체가 파열될 수 있습니다. 파열 가능성은 또한 특정 차량 환경, 인플레이터 및 추진력 구성, 제조 변동성 등의 다른 요인에 의해 영향을 받을 수 있습니다."
다임러트럭코리아(주),스프린터,2014-01-27,2018-08-25,2019-02-22,"에어백 제조사인 다카타의 조사에 의하면 차량 운전석 및 조수석 전면에 장착된 에어백 모듈의 내부 인플레이터 추진제가 높은 절대 습도, 고온 사이클링의 지속적인 조건에 수년간 노출된 경우, 에어백이 작동될 때 과도한 폭발로 인해 비정상적인 내부압력으로 인해 인플레이터 몸체가 파열될 수 있습니다. 파열 가능성은 또한 특정 차량 환경, 인플레이터 및 추진력 구성, 제조 변동성 등의 다른 요인에 의해 영향을 받을 수 있습니다."
포드세일즈서비스코리아(유),2014년식 Mustang,2013-01-23,2014-05-02,2019-02-28,조수석 에어백 전개시 건조제가 없는 인플레이터 내 과도한 압력 상승
포드세일즈서비스코리아(유),2019년식 Mustang,2018-11-18,2018-11-18,2019-03-15,"계기 패널 클러스터 모듈 소프트웨어 에러로 인하여 미국 연방 자동차 안전기준 (FMVSS) 101, ‘for visible indicators in the instrument panel cluster (계기 클러스터의 가시적인 표시기)’ 명시된 요구 사항을 준수하지 않을 수 있습니다. 이로 인하여, 시동시 계기판이 가시적인 표시 (Visible indicators) 를 실행하는데 필요한 데이터를 제대로 로딩(Loading)하지 못하여 빈 계기판으로 표시될 수 있음. (리콜 대상차량 총 1대는 PDI 보관 중이며. 국내 판매된 차량은 없음)"
기아자동차(주),K5(TF),2010-05-12,2013-09-24,2019-03-22,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 엔진 수리 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
기아자동차(주),K7(VG),2011-02-16,2013-10-14,2019-03-22,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 엔진 수리 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
기아자동차(주),스포티지(SL),2011-03-07,2013-09-17,2019-03-22,2.0LT-GDI 및 2.4LGDI 가솔린 엔진 장착 차량에서 엔진 수리 시 고압 연료 파이프 장착 작업 미흡으로 일부 차량 고압 연료 파이프 연결부 기밀력 저하로 누유 발생 가능성
현대자동차(주),벨로스터,2011-11-07,2013-10-21,2019-05-13,1.6L T-GDI 가솔린 엔진 ECU 조기 연소 저감 프로그램(로직) 미적용으로 정상 점화 시기 이전 조기 연소 발생 가능성
비엠더블유코리아(주),BMW 120d,2013-02-11,2014-11-24,2019-01-23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 220d Coupe,2013-07-12,2014-05-23,2019-01-23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 118d,2015-03-02,2017-05-02,2019-01-23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 120d,2015-03-13,2015-04-15,2019-01-23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW Active Tourer,2014-10-17,2017-03-08,2019-01-23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW 220d Coupe,2014-10-17,2015-02-25,2019-01-23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
